32.9,23.8,1541332272.92244
32.9,23.8,1541332275.438795
32.8,23.8,1541332277.4550452
32.9,23.8,1541332313.5066612
32.9,23.8,1541332315.5172212
32.9,23.8,1541332318.030933
32.9,23.8,1541332320.040441
32.9,23.8,1541332322.5506828
32.9,23.8,1541332327.06801
32.9,23.8,1541332335.968332
32.9,23.8,1541332338.480693
32.9,23.8,1541332340.49356
32.9,23.8,1541332343.0086038
32.9,23.8,1541332345.018961
33.1,23.8,1541332462.0055318
34.4,23.7,1541332464.013312
34.8,23.8,1541332466.53174
35.1,23.8,1541332468.566043
35.1,23.7,1541332471.210437
34.8,23.8,1541332473.215214
33.1,23.7,1541332552.20306
33.2,23.7,1541332554.217559
33.2,23.7,1541332556.7375438
33.2,23.7,1541332558.747822
33.2,23.7,1541332573.903378
33.2,23.7,1541332575.919038
33.3,23.7,1541332976.025016
33.3,23.7,1541332978.035462
33.2,23.7,1541332980.5433102
33.2,23.7,1541332982.5561259
33.2,23.7,1541332985.070771
33.2,23.7,1541332987.085796
33.2,23.7,1541332989.598458
34.2,23.7,1541332992.115871
34.9,23.7,1541332994.132432
34.4,23.7,1541332996.649604
34.7,23.7,1541332998.6622488
34.4,23.7,1541333001.179473
34.2,23.7,1541333003.191215
34.2,23.7,1541333005.702431
34.0,23.7,1541333007.713086
33.9,23.7,1541333010.2320828
33.8,23.7,1541333012.242492
33.7,23.7,1541333014.7626991
33.5,23.6,1541333016.777418
33.5,23.6,1541333019.2855868
33.4,23.6,1541333021.3009012
33.4,23.6,1541333023.81468
33.4,23.6,1541333025.830015
33.4,23.6,1541333028.345304
33.4,23.6,1541333030.348213
33.4,23.6,1541333032.863075
33.4,23.6,1541333034.879851
33.4,23.5,1541333037.395978
33.4,23.5,1541333039.658616
33.4,23.5,1541333042.170492
33.4,23.5,1541333044.178307
33.4,23.5,1541333046.687009
33.4,23.5,1541333048.6971462
33.4,23.5,1541333051.209676
33.5,23.5,1541333053.222194
33.5,23.5,1541333055.7342122
33.4,23.4,1541333057.741757
33.5,23.4,1541333060.254755
33.6,23.5,1541333062.260391
33.5,23.4,1541333064.776309
33.5,23.4,1541333066.78867
33.6,23.4,1541333069.334493
33.6,23.4,1541333071.346735
33.7,23.4,1541333073.859563
33.7,23.4,1541333075.8716118
33.6,23.4,1541333078.384276
33.6,23.4,1541333080.3983319
33.6,23.4,1541333082.910217
33.6,23.4,1541333085.42186
33.6,23.4,1541333087.4379961
33.6,23.4,1541333089.9492
33.6,23.4,1541333091.970758
33.6,23.4,1541333094.482189
33.6,23.4,1541333096.4954822
33.6,23.4,1541333098.830015
33.7,23.4,1541333101.343988
33.7,23.3,1541333103.357055
33.7,23.3,1541333105.872515
33.8,23.3,1541333107.888125
33.8,23.3,1541333110.4041831
33.8,23.3,1541333112.415564
34.8,23.1,1541333202.066838
34.8,23.1,1541333204.078965
34.7,23.1,1541333206.59005
34.7,23.1,1541333208.605248
34.6,23.2,1541333211.1207879
34.8,23.1,1541333213.131309
35.0,23.1,1541333215.6488872
35.3,23.1,1541333217.662407
35.2,23.1,1541333220.1749802
35.1,23.1,1541333222.683881
